_id,CD_DISCENTE,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,ANO_NASCIMENTO,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
22,348724,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,2002,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
23,350559,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
24,348822,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,2003,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
25,346268,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,JOSE CARLOS DE OLIVEIRA,CARUARU,PE,F,2003,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
26,217707,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,1992,N,A0,"","",N
27,350388,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,JOSE CARLOS DE OLIVEIRA,CARUARU,PE,M,1997,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
28,350649,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,M,1997,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
29,348744,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,2000,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
30,350534,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,2002,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
31,350470,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,M,2002,N,A0,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
32,350569,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CAIUCA,CARUARU,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
33,349627,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,GONÇALVES FERREIRA,CARUARU,PE,M,2003,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
34,350010,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CAIUCA,CARUARU,PE,M,2003,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
35,350627,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,1998,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
36,350594,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,1999,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
37,348572,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L2,"",ANALFABETO,N
38,348997,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
39,308481,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1996,S,L5,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
40,346588,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1999,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
41,348762,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,F,2002,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
42,350637,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,F,2003,N,A0,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,N
43,350539,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
44,348493,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GUARUJA,SP,BRA,CENTRO,BONITO,PE,F,2003,S,L2,"",ENSINO MEDIO,N
45,349019,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JABOATAO DOS GUARARAPES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
46,350635,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LAJEDO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
47,327270,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LIMOEIRO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
48,346224,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MAUA,SP,BRA,SALGADO,CARUARU,PE,F,2002,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
49,349596,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,OSASCO,SP,BRA,CENTRO,CUPIRA,PE,M,2000,S,L13,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,S
50,350308,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PASSIRA,PE,BRA,CENTRO,PASSIRA,PE,F,2003,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
51,347742,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,2001,N,A0,ENSINO SUPERIOR,ENSINO MEDIO,N
52,288395,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,CENTRO,PESQUEIRA,PE,M,1996,N,A0,"","",N
53,350103,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,POMBOS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,S,L5,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
54,350620,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,BOM JARDIM,PE,M,2002,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
55,350246,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,PETROPOLIS,CARUARU,PE,F,1993,S,L5,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL INCOMPLETO,N
56,350801,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,BOA VISTA,CARUARU,PE,F,2000,S,L5,ENSINO SUPERIOR,ENSINO MEDIO,N
57,350423,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
58,345726,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,F,2003,S,L2,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
59,350435,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,GRAVATA,PE,F,2003,N,A0,ENSINO SUPERIOR,ENSINO MEDIO,N
60,350676,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,VARZEA,RECIFE,PE,F,1985,N,A0,"","",N
61,349350,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L6,ENSINO MEDIO,ENSINO SUPERIOR,N
62,349467,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,DOIS UNIDOS,RECIFE,PE,M,1994,S,L6,ENSINO SUPERIOR,ENSINO SUPERIOR,N
63,346094,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,TORROES,RECIFE,PE,M,1997,S,L2,"",SEGUNDO GRAU INCOMPLETO,N
64,325256,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,LAGOA DA VACA,SURUBIM,PE,F,1996,N,A0,APERFEICOAMENTO,ENSINO SUPERIOR,N
65,350450,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CAJA,VITORIA DE SANTO ANTAO,PE,M,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
66,346678,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANTO ANDRE,SP,BRA,CENTRO,JUPI,PE,F,2000,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
67,348082,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO BERNARDO DO CAMPO,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
68,349443,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO GONCALO,RJ,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1976,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
69,346105,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO JOAQUIM DO MONTE,PE,BRA,CENTRO,BEZERROS,PE,F,2000,S,L2,"",ENSINO MEDIO,N
70,348787,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO JOAQUIM DO MONTE,PE,BRA,CENTRO,BONITO,PE,F,2003,S,L2,ENSINO MEDIO,ENSINO MEDIO,N
71,349233,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO PAULO,SP,BRA,CENTRO,PESQUEIRA,PE,M,2001,S,L6,"",ENSINO SUPERIOR,N
72,350662,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO PAULO,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
73,253796,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,1993,N,A0,"","",N
74,350583,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,F,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
75,350599,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,TAQUARITINGA DO NORTE,PE,BRA,CENTRO,TAQUARITINGA DO NORTE,PE,M,2002,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
76,350457,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VERTENTES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,N,A0,ENSINO SUPERIOR,ENSINO FUNDAMENTAL INCOMPLETO,N
77,350190,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VITORIA DE SANTO ANTAO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,S,L5,ENSINO MEDIO,ENSINO SUPERIOR,N
78,350651,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VITORIA DE SANTO ANTAO,PE,BRA,BELA VISTA,VITORIA DE SANTO ANTAO,PE,M,1993,N,A0,"",ENSINO MEDIO,N
79,351024,2021,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,F,1994,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
80,345895,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,AGRESTINA,PE,BRA,BOA VISTA,ALTINHO,PE,M,2000,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
81,349024,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,ARCOVERDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L6,ENSINO SUPERIOR,ENSINO MEDIO,N
82,350487,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,M,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
83,349717,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1999,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ANALFABETO,N
84,346517,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2002,S,L2,ENSINO MEDIO,ENSINO MEDIO,N
85,350636,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BEZERROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1993,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL INCOMPLETO,N
86,349855,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CAETITE,BA,BRA,SALGADO,CARUARU,PE,F,1990,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
87,349882,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,F,1996,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
88,339437,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,M,2002,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
89,350570,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,F,2001,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
90,350023,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2004,S,L5,ENSINO MEDIO,ENSINO MEDIO,N
91,350518,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,1979,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
92,351190,2021,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,1979,N,A0,ENSINO SUPERIOR,ENSINO MEDIO,N
93,219887,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,1982,S,L14,"","",S
94,304445,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,1998,N,A0,SUPERIOR INCOMPLETO,ENSINO MEDIO,N
95,328379,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,PETROPOLIS,CARUARU,PE,M,2000,N,A0,ENSINO MEDIO,APERFEICOAMENTO,N
96,338497,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,2000,S,L6,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
97,349234,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,2001,S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
98,349469,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CAIUCA,CARUARU,PE,M,2001,S,L6,ENSINO MEDIO,SEGUNDO GRAU INCOMPLETO,N
99,350501,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,2002,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
100,350380,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
101,350414,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,PETRÓPOLIS,CARUARU,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
102,349671,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,2003,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
103,351153,2021,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,VARZEA,RECIFE,PE,F,1991,N,A0,"","",N
104,350093,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
105,348884,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,S,L2,"",ENSINO MEDIO,N
106,350370,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
107,350533,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GARANHUNS,PE,BRA,HELIOPOLIS,GARANHUNS,PE,M,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
108,349940,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2001,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
109,346031,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,NORTE,GRAVATA,PE,M,1982,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
110,349327,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,LIMOEIRO,PE,BRA,CENTRO,LIMOEIRO,PE,M,2002,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
111,227346,2021,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,MORENO,PE,BRA,BONANÇA,MORENO,PE,F,1989,N,A0,"","",N
112,350548,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,NATAL,RN,BRA,BOA VISTA,BELO JARDIM,PE,F,2002,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
113,348723,2021,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,PALMARES,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,1999,S,L2,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,N
